문항번호,문제,해설,답,이미지여부,동영상여부
11,다음 중 도로교통법상 원동기장치자전거의 정의(기준)에 대한 설명으로 옳은 것은?<br>① 배기량 50시시 이하 - 최고정격출력 0.59킬로와트 이하<br>② 배기량 50시시 미만 - 최고정격출력 0.59킬로와트 미만<br>③ 배기량 125시시 이하 - 최고정격출력 11킬로와트 이하<br>④ 배기량 125시시 미만 - 최고정격출력 11킬로와트 미만,도로교통법 제2조 제19호 나목 정의 참조,③,,
12,다음 중 도로교통법상 제1종 대형면허 시험에 응시할 수 있는 기준은?(이륜자동차<br>운전경력은 제외)<br>① 자동차의 운전경력이 6개월 이상이면서 만 18세인 사람<br>② 자동차의 운전경력이 1년 이상이면서 만 18세인 사람<br>③ 자동차의 운전경력이 6개월 이상이면서 만 19세인 사람<br>④ 자동차의 운전경력이 1년 이상이면서 만 19세인 사람,도로교통법 제82조 제1항 제6호에 따라 제1종 대형면허는 19세 미만이거나 자동차(이륜자<br>동차는 제외한다)의 운전경력이 1년 미만인 사람은 받을 수 없다.,④,,
13,거짓 그밖에 부정한 수단으로 운전면허를 받아 벌금이상의 형이 확정된 경우<br>얼마동안 운전면허를 취득할 수 없는가?<br>① 취소일로부터 1년 ② 취소일로부터 2년<br>③ 취소일로부터 3년 ④ 취소일로부터 4년,도로교통법 제82조 제2항에 따라 거짓 그밖에 부정한 수단으로 운전면허를 받아 벌금이상의<br>형이 확정된 경우 운전면허 취득 결격기간은 취소일로부터 2년이다.,②,,
14,도로주행시험에 불합격한 사람은 불합격한 날부터 ( )이 지난 후에 다시<br>도로주행시험에 응시할 수 있다. ( )에 기준으로 맞는 것은?<br>① 1일 ② 3일 ③ 5일 ④ 7일,도로교통법 시행령 제49조 제4항에 따라 도로주행시험에 불합격한 사람은 불합격한 날부터<br>3일이 지난 후에 다시 도로주행시험에 응시할 수 있다.,②,,
15,개인형 이동장치 운전자의 자세로 바르지 않은 것은?<br>① 인명보호 장구를 착용한다.<br>② 사용설명서 및 사용방법을 숙지 후 운행한다.<br>③ 운행에 방해될 수 있는 수화물 및 소지품을 휴대하지 않는다.<br>④ 자동차 전용도로 및 보도로 주행하여 안전하게 운행한다.,"고속도로, 자동차 전용도로를 주행해서는 안 된다. 개인형 이동장치는 자전거 도로 등 허용된<br>곳에서만 주행하여야 한다.",④,,
16,원동기 장치자전거 중 개인형 이동장치의 정의에 대한 설명으로 바르지 않은 것은?<br>① 오르막 각도가 25도 미만이어야 한다.<br>② 차체 중량이 30킬로그램 미만이어야 한다.<br>③ 자전거등이란 자전거와 개인형 이동장치를 말한다.<br>④ 시속 25킬로미터 이상으로 운행할 경우 전동기가 작동하지 않아야 한다.,"도로교통법 제2조 제19호2, 자전거 이용 활성화에 관한 법률 제3조 제1호 “개인형 이동장<br>치”란 제19호 나목의 원동기장치자전거 중 시속 25킬로미터 이상으로 운행할 경우 전동기가<br>작동하지 아니하고 차체 중량이 30킬로그램 미만인 것으로서 행정안전부령으로 정하는 것을<br>말하며, 등판각도는 규정되어 있지 않다.",①,,
17,개인형 이동장치의 기준에 대한 설명이다. 바르게 설명된 것은?<br>① 원동기를 단 차 중 시속 30킬로미터 이상으로 운행할 경우 전동기가<br>작동하지 아니하여야 한다.<br>② 최고 정격출력 11킬로와트 이하의 원동기를 단 차로 전기자전거를<br>포함한다.<br>③ 최고 정격출력 11킬로와트 이하의 원동기를 단 차로 차체 중량이<br>35킬로그램 미만인 것을 말한다.<br>④ 차체 중량은 30킬로그램 미만이어야 한다.,도로교통법 제2조 19호 나목 그 밖에 배기량 125시시 이하(전기를 동력으로 하는 경우에는<br>최고 정격출력 11킬로와트 이하)의 원동기를 단 차(자전거 이용 활성화에 관한 법률 제2조<br>제1호의 2에 따른 전기자전거는 제외한다)<br>19의 2호 “개인형 이동장치”란 제19호 나목의 원동기장치자전거 중 시속 25킬로미터 이상<br>으로 운행할 경우 전동기가 작동하지 아니하고 차체 중량이 30킬로그램 미만인 것으로서 행<br>정안전부령으로 정하는 것을 말한다.,④,,
18,다음 중 운전면허 취득 결격기간이 2년에 해당하는 사유 2가지는?(벌금 이상의 형이<br>확정된 경우)<br>① 무면허 운전을 3회한 때<br>② 다른 사람을 위하여 운전면허시험에 응시한 때<br>③ 자동차를 이용하여 감금한 때<br>④ 정기적성검사를 받지 아니하여 운전면허가 취소된 때,자동차를 이용하여 감금한 때는 운전면허 취득 결격기간이 1년이나 정기적성검사를 받지<br>아니하여 운전면허가 취소된 때는 운전면허 취득 결격기간이 없다.,"①, ②",,
19,도로교통법상 개인형 이동장치에 대한 설명으로 틀린 것은?<br>① 운전자는 앞 차의 우측으로 앞지르기 할 수 있다.<br>② 도로에서 운전하는 경우 인명보호 장구를 착용해야 한다.<br>③ 도로에서 어린이가 운전하는 경우 보호자가 감독해야 한다.<br>④ 자전거도로에서 운전하는 경우 동승자에게도 인명보호 장구를 착용하게<br>해야 한다.,"도로교통법 제11조 제4항. 어린이의 보호자는 도로에서 어린이가 개인형 이동장치를 운전하게<br>하여서는 아니 된다. 도로교통법 제21조 제2항 자전거등의 운전자는 서행하거나 정지한 다른<br>차를 앞지르려면 제1항에도 불구하고 앞차의 우측으로 통행할 수 있다. 도로교통법 제50조 제4<br>항 자전거등의 운전자는 자전거도로 및 「도로법」에 따른 도로를 운전할 때에는 행정안전부령으<br>로 정하는 인명보호 장구를 착용하여야 하며, 동승자에게도 이를 착용하도록 하여야 한다.",③,,
20,도로교통법상 원동기장치자전거는 전기를 동력으로 하는 경우에는 최고정격출력<br>( )이하의 이륜자동차 이다. ( )에 기준으로 맞는 것은?<br>① 11킬로와트 ② 9킬로와트<br>③ 5킬로와트 ④ 0.59킬로와트,도로교통법 제2조(용어) 원동기장치자전거란 자동차관리법상 이륜자동차 가운데 배기량<br>125시시 이하(전기를 동력으로 하는 경우에는 최고정격출력 11킬로와트 이하)의 이륜자동차<br>와 그 밖에 배기량 125시시 이하(전기를 동력으로 하는 경우에는 최고정격출력 11킬로와트<br>이하)의 원동기를 단 차,①,,
21,다음 중 도로교통법에서 사용되고 있는 “연석선” 정의로 맞는 것은?<br>① 차마의 통행방향을 명확하게 구분하기 위한 선<br>② 자동차가 한 줄로 도로의 정하여진 부분을 통행하도록 한 선<br>③ 차도와 보도를 구분하는 돌 등으로 이어진 선<br>④ 차로와 차로를 구분하기 위한 선,도로교통법 제2조(정의) 제4호,③,,
22,도로교통법상 개인형 이동장치와 관련된 내용으로 맞는 것은?<br>① 승차정원을 초과하여 운전<br>② 운전면허를 반납한 만 65세 이상인 사람이 운전<br>③ 만 13세 이상인 사람이 운전면허 취득 없이 운전<br>④ 횡단보도에서 개인형 이동장치를 끌거나 들고 횡단,도로교통법 제13조의2 제6항 자전거등의 운전자가 횡단보도를 이용하여 도로를 횡단할<br>때에는 자전거등에서 내려서 자전거등을 끌거나 들고 보행하여야 한다.,④,,
23,"도로교통법상, 고령자 면허 갱신 및 적성검사의 주기가 3년인 사람의 연령으로 맞는<br>것은?<br>① 만 65세 이상 ② 만 70세 이상<br>③ 만 75세 이상 ④ 만 80세 이상",도로교통법 제87조 제1항,③,,
24,다음은 도로교통법령상 운전면허증을 발급 받으려는 사람의 본인여부 확인 절차에<br>대한 설명이다. 틀린 것은?<br>① 주민등록증을 분실한 경우 주민등록증 발급신청 확인서로 가능하다.<br>② 신분증명서 또는 지문정보로 본인여부를 확인 할 수 없으면 시험에 응시할<br>수 없다.<br>③ 신청인의 동의 없이 전자적 방법으로 지문정보를 대조하여 확인할 수<br>있다.<br>④ 본인여부 확인을 거부하는 경우 운전면허증 발급을 거부할 수 있다.,"도로교통법 제87조의 2, 도로교통법시행규칙 제57조(운전면허시험응시) 신분증명서를 제시<br>하지 못하는 사람은 신청인이 원하는 경우 전자적 방법으로 지문정보를 대조하여 본인 확인<br>할 수 있다.",③,,
25,연습운전면허를 발급받은 운전자가 운전연습 중 다음 교통사고를 일으킨 경우<br>연습면허가 취소되는 것은?<br>① 도로가 아닌 곳에서 교통사고를 일으킨 경우<br>② 물적피해 교통사고를 일으킨 경우<br>③ 전문학원 강사의 지시에 따라 운전하던 중 교통사고를 일으킨 경우<br>④ 인적피해 교통사고를 일으킨 경우,"도로에서 자동차등의 운행으로 인한 교통사고(다만, 물적 피해만 발생한 경우를 제외한다)를<br>일으킨 때 연습운전면허를 취소한다.",④,,
26,다음 중 특별교통안전 권장교육 대상자가 아닌 사람은?<br>① 운전면허를 받은 사람 중 교육을 받으려는 날에 65세 이상인 사람<br>② 운전면허효력 정지처분을 받고 그 정지기간이 끝나지 아니한 초보운전자<br>로서 특별교통안전 의무교육을 받은 사람<br>③ 교통법규 위반 등으로 인하여 운전면허효력 정지처분을 받을 가능성이<br>있는 사람<br>④ 적성검사를 받지 않아 운전면허가 취소된 사람,도로교통법 제73조(교통안전교육) ③ 다음 각 호의 어느 하나에 해당하는 사람이 시･도경찰<br>청장에게 신청하는 경우에는 대통령령으로 정하는 바에 따라 특별교통안전 권장교육을 받을<br>수 있다. 이 경우 권장교육을 받기 전 1년 이내에 해당 교육을 받지 아니한 사람에 한정한다.<br>1. 교통법규 위반 등 제2항제2호 및 제4호에 따른 사유 외의 사유로 인하여 운전면허효력<br>정지처분을 받게 되거나 받은 사람<br>2. 교통법규 위반 등으로 인하여 운전면허효력 정지처분을 받을 가능성이 있는 사람<br>3. 제2항제2호부터 제4호까지에 해당하여 제2항에 따른 특별교통안전 의무교육을 받은 사람<br>4. 운전면허를 받은 사람 중 교육을 받으려는 날에 65세 이상인 사람,④,,
27,"도로교통법상 자동차등의 운전에 필요한 기능에 관한 시험(장내기능시험)의 범위에<br>해당하지 않는 것은?<br>① 핸들, 브레이크, 방향지시기 등을 조작하는 능력<br>② 신호, 지정속도 등을 준수하면서 운전하는 능력<br>③ 운전 중 위험요소 등에 대한 지각 및 판단 능력<br>④ 연습운전면허를 소지하고 도로에서 주행하는 능력",도로교통법시행령제48조(자동차등의 운전에 필요한 기능에 관한 시험) 운전장치를 조작하는<br>능력평가는 도로주행시험 항목.,④,,
28,제1종 운전면허를 발급받은 65세 이상 75세 미만인 사람(한쪽 눈만 보지 못하는<br>사람은 제외)은 몇 년마다 정기적성검사를 받아야 하나?<br>① 3년마다 ② 5년마다<br>③ 10년마다 ④ 15년마다,도로교통법 87조 제1항 1호 제1종 운전면허를 발급받은 65세 이상 75세 미만인 사람은 5<br>년마다 정기적성검사를 받아야 한다. 다만 한쪽 눈만 보지 못하는 사람으로서 제1종 면허<br>중 보통면허를 취득한 사람은 3년이다.,②,,
29,운전면허증을 시･도경찰청장에게 반납하여야 하는 사유 2가지는?<br>① 운전면허 취소의 처분을 받은 때<br>② 운전면허 효력 정지의 처분을 받은 때<br>③ 운전면허 수시적성검사 통지를 받은 때<br>④ 운전면허의 정기적성검사 기간이 6개월 경과한 때,"운전면허의 취소 처분을 받은 때, 운전면허의 효력 정지 처분을 받은 때, 운전면허증을 잃어<br>버리고 다시 교부 받은 후 그 잃어버린 운전면허증을 찾은 때, 연습운전면허를 받은 사람이<br>제1종 보통운전면허 또는 제2종 보통운전면허를 받은 때에는 7일 이내에 주소지를 관할하는<br>시･도경찰청장에게 운전면허증을 반납하여야 한다.","①, ②",,
30,도로교통법에 대한 설명 중 옳은 것은?<br>① 범칙금 또는 과태료를 미납하면 국제운전면허증을 발급받지 못할 수도 있다.<br>② 외국인이 국제운전면허증으로 음주운전을 하다가 인적피해 교통사고를<br>낸 경우 그 면허는 취소된다.<br>③ 제1종 보통면허 소지자는 교통안전교육만 받으면 운전면허 갱신이 가능하다.<br>④ 70세 이상의 노인은 운전면허를 취득할 수 없다.,"시･도경찰청장은 국제운전면허증에 의한 운전의 금지를 명할 수 있으며, 1종 면허 소지자는<br>정기 적성검사를 받아야 갱신할 수 있다. 또한 70세 이상의 노인은 운전면허를 취득할 수<br>있다.",①,,
31,다음 중 도로교통법령상 영문 운전면허증을 발급 받을 수 없는 사람은?<br>① 운전면허시험에 합격하여 운전면허증을 신청하는 경우<br>② 운전면허 적성검사에 합격하여 운전면허증을 신청하는 경우<br>③ 외국면허증을 국내면허증으로 교환 발급 신청하는 경우<br>④ 연습운전면허증으로 신청하는 경우,도로교통법시행규칙 제78조(영문 운전면허증의 신청 등) 연습운전면허 소지자는 영문운전면<br>허증 발급 대상이 아니다.,④,,
32,도로교통법령상 제2종 보통면허로 운전할 수 없는 차는?<br>① 구난자동차<br>② 승차정원 10인 미만의 승합자동차<br>③ 승용자동차<br>④ 적재중량 2.5톤의 화물자동차,도로교통법 시행규칙 별표18(운전할 수 있는 차의 종류),①,,
33,운전면허시험 부정행위로 그 시험이 무효로 처리된 사람은 그 처분이 있는 날부터<br>( )간 해당시험에 응시하지 못한다. ( )안에 기준으로 맞는 것은?<br>① 2년 ② 3년 ③ 4년 ④ 5년,"도로교통법제84조의2 부정행위자에 대한 조치, 부정행위로 시험이 무효로 처리된 사람은 그<br>처분이 있는 날부터 2년간 해당시험에 응시하지 못한다.",①,,
34,다음 중 도로교통법령상 운전면허증 갱신발급이나 정기 적성검사의 연기 사유가<br>아닌 것은?<br>① 해외 체류 중인 경우<br>② 질병으로 인하여 거동이 불가능한 경우<br>③ 군인사법에 따른 육･해･공군 부사관 이상의 간부로 복무중인 경우<br>④ 재해 또는 재난을 당한 경우,"도로교통법 시행령 제55조 제1항<br>1. 해외에 체류 중인 경우 2. 재해 또는 재난을 당한 경우 3. 질병이나 부상으로 인하여<br>거동이 불가능한 경우 4. 법령에 따라 신체의 자유를 구속당한 경우 5. 군 복무 중(｢병역<br>법｣에 따라 교정시설경비교도·의무경찰 또는 의무소방원으로 전환복무 중인 경우를 포함하<br>고, 사병으로 한정한다)인 경우 6. 그 밖에 사회통념상 부득이하다고 인정할 만한 상당한<br>이유가 있는 경우",③,,
35,도로교통법령상 운전면허증 갱신기간의 연기를 받은 사람은 그 사유가 없어진<br>날부터 ( ) 이내에 운전면허증을 갱신하여 발급받아야 한다. ( )에 기준으로<br>맞는 것은?<br>① 1개월 ② 3개월 ③ 6개월 ④ 12개월,도로교통법 시행령 제55조 제3항 운전면허증 갱신기간의 연기를 받은 사람은 그 사유가 없<br>어진 날부터 3개월 이내에 운전면허증을 갱신하여 발급받아야 한다.,②,,
36,최초의 운전면허증 갱신기간은 운전면허시험에 합격한 날부터 기산하여 10년이 되는<br>날이 속하는 해의 ( )이다. ( )안에 기준으로 맞는 것은?<br>① 1월 1일부터 6월 30일까지 ② 1월 1일부터 12월 31일까지<br>③ 7월 1일부터 9월 30일까지 ④ 7월 1일부터 12월 31일까지,"도로교통법 제87조(운전면허증의 갱신과 정기 적성검사), 최초의 운전면허증 갱신기간은<br>운전면허시험에 합격한 날부터 기산하여 10년 되는 날이 속하는 해의 1월 1일부터 12월 31<br>일까지이다.",②,,
37,다음 타이어 특성 중 자동차 에너지 소비효율에 가장 큰 영향을 주는 것은 무엇인가?<br>① 노면 제동력 ② 내마모성<br>③ 회전저항 ④ 노면 접지력,"자동차용 타이어의 에너지 소비효율 측정 및 등급기준·표시 등에 관한 규정 제4조에 따라<br>타이어를 판매하고자 하는 경우 에너지 소비효율 등급을 측정 및 표기하여야 하며, 이때 자<br>동차 에너지 소비효율에 관한 사항인 회전저항 측정 시험을 하고 그 수치를 등급으로 표시해<br>야함.<br>*회전저항：단위 주행거리당 소비되는 에너지로 단위는 N을 사용",③,,
38,운전자가 가짜 석유제품임을 알면서 차량 연료로 사용할 경우 처벌기준은?<br>① 과태료 5만원∼10만원 ② 과태료 50만원∼1백만원<br>③ 과태료 2백만원∼2천만원 ④ 처벌되지 않는다.,석유 및 석유대체연료 사업법 시행령 별표6 과태료 시행기준 가짜 석유제품임을 알면서 차량<br>연료로 사용할 경우 사용량에 따라 2백만원에서 2천만원까지 과태료가 부과될 수 있다.,③,,
39,출발 전 엔진룸을 열어서 차량 상태를 육안으로 점검할 사항으로 맞는 것은?<br>① 타이어의 공기압 ② 제동등의 상태<br>③ 엔진오일의 적정량 ④ 냉각수의 온도,"엔진룸을 열어서 냉각수의 양은 확인 가능하나 온도확인은 온도계 없이 확인이 곤란할 수<br>있으며, 운전자라면 출발 전 엔진룸을 열어 간단한 점검으로도 운행 중 차량고장을 막을 수<br>있음을 주지하도록 할 필요가 있다.",③,,
40,가짜 석유를 주유했을 때 자동차에 발생할 수 있는 문제점이 아닌 것은?<br>① 연료 공급장치 부식 및 파손으로 인한 엔진 소음 증가<br>② 연료를 분사하는 인젝터 파손으로 인한 출력 및 연비 감소<br>③ 윤활성 상승으로 인한 엔진 마찰력 감소로 출력 저하<br>④ 연료를 공급하는 연료 고압 펌프 파손으로 시동 꺼짐,"가짜석유를 자동차 연료로 사용하였을 경우, 윤활성 저하로 인한 마찰력 증가로 연료 고압<br>펌프 및 인젝터 파손이 발생할 수 있다.",③,,
41,자동차에 승차하기 전 주변점검 사항으로 맞는 2가지는?<br>① 타이어 마모상태 ② 전･후방 장애물 유무<br>③ 운전석 계기판 정상작동 여부 ④ 브레이크 페달 정상작동 여부,운전석 계기판 및 브레이크 페달 정상작동 여부는 승차 후 운전석에서의 점검사항이다.,"①, ②",,
42,"일반적으로 무보수(MF：Maintenance Free)배터리 수명이 다한 경우, 점검창에<br>나타나는 색깔은?<br>① 황색 ② 백색 ③ 검은색 ④ 녹색","제조사에 따라 점검창의 색깔을 달리 사용하고 있으나, 일반적인 무보수(MF：<br>Maintenance Free)배터리는 정상인 경우 녹색(청색), 전해액의 비중이 낮다는 의미의 검은<br>색은 충전 및 교체, 백색(적색)은 배터리 수명이 다한 경우를 말한다.",②,,
43,"다음 중 차량 연료로 사용될 경우, 가짜 석유제품으로 볼 수 없는 것은?<br>① 휘발유에 메탄올이 혼합된 제품<br>② 보통 휘발유에 고급 휘발유가 약 5% 미만으로 혼합된 제품<br>③ 경유에 등유가 혼합된 제품<br>④ 경유에 물이 약 5% 미만으로 혼합된 제품","석유 및 석유대체연료 사업법에서 규정한 가짜 석유제품이란 석유제품에 다른 석유제품(등급<br>이 다른 석유제품 포함) 또는 석유화학제품 등을 혼합하는 방법으로 차량 연료로 사용할 목<br>적으로 제조된 것을 말하며, 혼합량에 따른 별도 적용 기준은 없으므로 소량을 혼합해도 가<br>짜 석유제품으로 볼 수 있다. 가짜 석유제품 또는 적법한 용도를 벗어난 연료 사용은 차량<br>이상으로 이어져 교통사고 및 유해 배출가스 증가로 인한 환경오염 등을 유발한다. 휘발유,<br>경유 등에 물과 침전물이 유입되는 경우 품질 부적합 제품으로 본다.",④,,
44,수소가스 누출을 확인할 수 있는 방법이 아닌 것은?<br>① 가연성 가스검지기 활용 측정 ② 비눗물을 통한 확인<br>③ 가스 냄새를 맡아 확인 ④ 수소검지기로 확인,"수소자동차 충전소 시공매뉴얼, p.12. 한국가스안전공사 수소는 지구에서 가장 가벼운 원소로<br>무색, 무미, 무독한 특징을 가지고 있다. 또한 수소와 비슷한 확산 속도를 가진 부취제가<br>없어 누출 감지가 어려운 가스이다.",③,,
45,수소차량의 안전수칙으로 틀린 것은?<br>① 충전하기 전 차량의 시동을 끈다.<br>② 충전소에서 흡연은 차량에 떨어져서 한다.<br>③ 수소가스가 누설할 때에는 충전소 안전관리자에게 안전점검을 요청한다.<br>④ 수소차량의 충돌 등 교통사고 후에는 가스 안전점검을 받은 후 사용한다.,"수소자동차 충전시설 유지관리 매뉴얼, p.21. 일반적인 주의사항으로는 1) 충전소 주변은<br>절대 금연, 2) 방폭형 전기설비 사용, 3) 가스 설비실 내 휴대전화 사용 금지, 4) 충전소 내<br>차량 제한속도 10㎞ 이하, 5) 매뉴얼 숙지 전 장비작동금지, 6) 충전소는 교육된 인원에 의<br>해서만 사용 및 유지 보수되어야 함, 7) 매뉴얼에 언급된 사항 및 고압가스안전관리법에<br>따라 운영할 것, 8) 불안전한 상황에서 장비작동 금지, 9) 안전관련 설비가 제대로 작동하지<br>않는 상태에서는 운전을 금지하고, 안전 관련 설비를 무시하고 운전하지 말 것, 10) 운전 및<br>유지 보수 관련 절차 준수, 11) 매뉴얼에 설명된 압력 범위 내에서만 운전할 것.",②,,
46,다음 중 수소차량에서 누출을 확인하지 않아도 되는 곳은?<br>① 밸브와 용기의 접속부 ② 조정기<br>③ 가스 호스와 배관 연결부 ④ 연료전지 부스트 인버터,전장장치는 연료전지 스택으로부터 출력된 DC를 AC로 변환하는 인버터와 제동 시 발생하<br>는 전기를 저장하기 위한 슈퍼커패시터 및 이차전지 등으로 구성된다. 전력변환장치는 스택<br>으로부터 얻어지는 DC 전력을 모터 구성 전압 수준으로 변환하거나 고전류의 AC 구동모터를<br>구동 및 제어하기 위해 DC 전력을 AC 전력으로 변환하고 차량 내 각종 전자기기들을 구동<br>하기 위한 전압으로 전환하는 역할을 한다.,④,,
47,우회전 차량 우측 앞바퀴와 우측 뒷바퀴의 회전 궤적의 차이는?<br>① 회전 저항 ② 외륜차<br>③ 최소 회전 반경 ④ 내륜차,차량이 우회전할 때 우측 전륜의 회전 궤적보다도 우측 후륜의 회전 궤적이 차체 바깥쪽으로<br>형성되는 현상이 나타나기 때문에 도로의 우측면에서 있는 보행자나 이륜차가 차량의 우측면<br>에 충돌되는 상황이 발생할 위험이 있다.,④,,
48,LPG자동차 용기의 최대 가스 충전량은?<br>① 100% 이하(도넛형 95% 이하)<br>② 95% 이하(도넛형 90% 이하)<br>③ 85% 이하(도넛형 80% 이하)<br>④ 75% 이하(도넛형 70% 이하),"자동차용 내압용기안전에 관한 규정 별표6 LPG용기를 사용하는 자동차 용기의 최대 가스<br>충전량은 85% 이하로 해야 하며, 도넛형 용기의 경우에는 80% 이하로 해야 한다.",③,,
49,LPG차량의 연료특성에 대한 설명으로 적당하지 않은 것은?<br>① 일반적인 상온에서는 기체로 존재한다.<br>② 차량용 LPG는 독특한 냄새가 있다.<br>③ 일반적으로 공기보다 가볍다.<br>④ 폭발 위험성이 크다.,"끓는점이 낮아 일반적인 상온에서 기체 상태로 존재한다. 압력을 가해 액체 상태로 만들어<br>압력 용기에 보관하며 가정용, 자동차용으로 사용한다. 일반 공기보다 무겁고 폭발위험성이<br>크다. LPG 자체는 무색무취이지만 차량용 LPG에는 특수한 향을 섞어 누출 여부를 확인할<br>수 있도록 하고 있다.",③,,
